"seller_id","total_orders","early_deliveries","early_delivery_pct","avg_days_early","delivery_rank"
"0b36063d5818f81ccb94b54adfaebbf5","1","15","1500.00","21.00","1"
"a3b42d266fa8afc874b909422ce88582","1","6","600.00","4.00","2"
"99a25c39b28a74d1151c35c18d178292","1","6","600.00","10.00","2"
"c394e193cda3b4225ff2094d32184849","2","11","550.00","17.55","4"
"010da0602d7774602cd1b3f5fb7b709e","1","5","500.00","10.00","5"
"8ff38bc3969e67c36c48343a07090f66","2","8","400.00","11.00","6"
"fc6295add6f51a0936407ead70c1001d","1","4","400.00","9.00","6"
"024b564ae893ce8e9bfa02c10a401ece","2","8","400.00","40.50","6"
"ab27bbbad5239bc31a34709275a70db4","3","11","366.67","11.55","9"
"b37c4c02bda3161a7546a4e6d222d5b2","4","14","350.00","6.27","10"
