"product_category_name","total_orders","canceled_orders","cancellation_pct"
"pc_gamer","9","1","11.11"
"portateis_cozinha_e_preparadores_de_alimentos","15","1","6.67"
"dvds_blu_ray","64","2","3.13"
"construcao_ferramentas_seguranca","194","5","2.58"
"fraldas_higiene","39","1","2.56"
"construcao_ferramentas_jardim","238","4","1.68"
"instrumentos_musicais","680","11","1.62"
"livros_interesse_geral","553","7","1.27"
"eletrodomesticos_2","238","3","1.26"
"eletroportateis","679","8","1.18"
