"geolocation_city","geolocation_state","avg_delivery_days","total_orders"
"iomere","SC","3.00","1"
"iomerê","SC","3.00","1"
"pedra bela","SP","4.00","2"
"embaúba","SP","4.00","1"
"naque-nanuque","MG","4.00","1"
"cambara do sul","RS","4.00","1"
"açucena","MG","4.00","1"
"agua doce","SC","4.00","1"
"divino das laranjeiras","MG","4.00","1"
"embauba","SP","4.00","1"
"cambará do sul","RS","4.00","1"
"água doce","SC","4.00","1"
"contenda","PR","4.00","1"
"acucena","MG","4.00","1"
"sao patricio","GO","4.00","1"
