"category","product_id","total_revenue"
"agro_industry_and_commerce","11250b0d4b709fee92441c5f34122aed","9710.48"
"agro_industry_and_commerce","423a6644f0aa529e8828ff1f91003690","8609.73"
"agro_industry_and_commerce","672e757f331900b9deea127a2a7b79fd","7355.34"
"agro_industry_and_commerce","c183fd5d2abf05873fa6e1014ed9e06c","6081.54"
"agro_industry_and_commerce","2b69866f22de8dad69c976771daba91c","3184.55"
"air_conditioning","12485f9cdebb6ca179826ede539554ad","3993.09"
"air_conditioning","83ca77d87b187321faaee535adbce26c","2526.58"
"air_conditioning","0e34187d4312b97b5e698836d28ed040","2356.40"
"air_conditioning","ccb162ed569f47d83f62aebd5700d7ad","2154.33"
"air_conditioning","e932008cf0ea7c93a077dd8d7e5f49eb","2089.91"
"art","4fe644d766c7566dbc46fb851363cb3b","12852.22"
"art","1bdf5e6731585cf01aa8169c7028d6ad","6726.66"
"art","cbf96c04205dc933b89e025748c2a057","560.36"
"art","4c6aedb2bfbcb47f59db757dfc22c607","491.38"
"art","bf359473d58e90d8fc29bf8f3d282ea9","430.34"
"arts_and_craftmanship","b9976e9c22fb1540bd71d1bcd2989475","721.82"
"arts_and_craftmanship","6bb18295cc019bf3b6dc7c773411d530","314.32"
"arts_and_craftmanship","43506d2b6b5e0535079f88c7dc51c4de","306.72"
"arts_and_craftmanship","ec90895370885d025efeb8e72e7fa699","145.56"
"arts_and_craftmanship","43f224fb79bae5b22585eb868fe3b84b","118.00"
"audio","13db47eae724e2848e12b71a617a3a41","13525.39"
"audio","db5efde3ad0cc579b130d71c4b2db522","10231.39"
"audio","9bfc55df037ce3ac01bfd84781adf7e5","9776.03"
"audio","dca8cbb1c9d8a2db0fbc0c36b8d1a7bc","2912.32"
"audio","e6b6e13cf71449a457269f425b89dc74","2256.73"
"auto","fd0065af7f09af4b82a0ca8f3eed1852","22367.88"
"auto","1dec4c88c685d5a07bf01dcb0f8bf9f8","22228.51"
"auto","f4f67ccaece962d013a4e1d7dc3a61f7","14747.13"
"auto","4fcb3d9a5f4871e8362dfedbdb02b064","14709.35"
"auto","a50acd33ba7a8da8e9db65094fa990a4","11720.52"
"baby","25c38557cf793876c5abdd5931f922db","40311.95"
"baby","cac9e5692471a0700418aa3400b9b2b1","11484.57"
"baby","8aa6223e400af9c97b07c75993142721","9912.40"
"baby","83b00325c13c44245b2c3a2befa62a0e","8276.42"
"baby","41cd333a4af5e36df81fc0b83ccf8e2d","7446.75"
"bed_bath_table","99a4788cb24856965c36a24e339b6058","51071.60"
"bed_bath_table","f1c7f353075ce59d8a6f3cf58f419c9c","33316.76"
"bed_bath_table","84f456958365164420cfc80fbe4c7fab","12160.45"
"bed_bath_table","2a2d22ae30e026f1893083c8405ca522","11725.86"
"bed_bath_table","25f86162fee18735fffdb762dcb10d7c","10963.80"
"books_general_interest","f35927953ed82e19d06ad3aac2f06353","7769.69"
"books_general_interest","1cc61b32763a4d816212b3507b6b6c59","6126.48"
"books_general_interest","310b40ec41fbfc061e5309006482e68a","4862.29"
"books_general_interest","b9ca577f48894c59a9677f895f9a44bc","2496.43"
"books_general_interest","9fb9a39f2e393018aaeb432394aff48f","1197.94"
"books_imported","078b7149a32b479d3cbf1649fea0172c","804.96"
"books_imported","98d893a81a1845b6f278f33eee0a4f36","624.22"
"books_imported","68ad45d48d69404aeb71ce87e1b2c948","608.19"
"books_imported","7515ab3fc02c8f43b07e9451497fb13e","346.52"
"books_imported","59c2f10b8a2fb03ed30afa9bb77c9b9f","289.32"
"books_technical","173e9fe34bfe97f3a5e6dc57fe897b74","3134.47"
"books_technical","edd087ed331c3ce178ec3489b9ecf117","2472.01"
"books_technical","d8f1b415091ab79b62ac80443d865ca6","1111.62"
"books_technical","44feb28a74abb0f2f303412d60160750","883.93"
"books_technical","cdd914e78124a73cc28a165cfc4a0bbc","669.36"
"cds_dvds_musicals","1dceebcc5f23c02ea23e16d5bedca000","954.99"
"christmas_supplies","40e8b425d1a26e2d9cb77363523e05ce","2379.21"
"christmas_supplies","f3ccdb9f9c7f31e0efd626e9110b85f5","1379.12"
"christmas_supplies","9defbbbbd3c270b0c41dfcbf70582147","805.55"
"christmas_supplies","dd72d83b749ec911396ef3337e00b633","655.96"
"christmas_supplies","ffc0b406806006602c5853b00ab5f7fd","647.24"
