"product_category_name","avg_rating"
"cds_dvds_musicais","4.64"
"fashion_roupa_infanto_juvenil","4.50"
"livros_interesse_geral","4.45"
"construcao_ferramentas_ferramentas","4.44"
"flores","4.42"
"livros_importados","4.40"
"livros_tecnicos","4.36"
"alimentos_bebidas","4.32"
"malas_acessorios","4.31"
"portateis_casa_forno_e_cafe","4.29"
"fashion_calcados","4.24"
"fashion_esporte","4.23"
"alimentos","4.22"
"cine_foto","4.21"
"papelaria","4.20"
"musica","4.19"
"pcs","4.18"
"pet_shop","4.18"
"eletrodomesticos","4.17"
"perfumaria","4.17"
"brinquedos","4.16"
"instrumentos_musicais","4.15"
"cool_stuff","4.15"
"eletroportateis","4.15"
"fashion_bolsas_e_acessorios","4.15"
"beleza_saude","4.14"
"eletrodomesticos_2","4.13"
"artes_e_artesanato","4.13"
"tablets_impressao_imagem","4.12"
"esporte_lazer","4.11"
"industria_comercio_e_negocios","4.10"
"moveis_quarto","4.09"
"sinalizacao_e_seguranca","4.08"
"dvds_blu_ray","4.08"
"construcao_ferramentas_construcao","4.06"
"automotivo","4.06"
"construcao_ferramentas_iluminacao","4.05"
"utilidades_domesticas","4.05"
"bebidas","4.05"
"construcao_ferramentas_jardim","4.05"
"ferramentas_jardim","4.05"
"eletronicos","4.04"
"consoles_games","4.03"
"market_place","4.03"
"artigos_de_natal","4.02"
"relogios_presentes","4.02"
"bebes","4.01"
"moveis_cozinha_area_de_servico_jantar_e_jardim","4.00"
"agro_industria_e_comercio","4.00"
"la_cuisine","4.00"
"fashion_underwear_e_moda_praia","3.99"
"climatizacao","3.98"
"telefonia","3.95"
"artes","3.95"
"casa_construcao","3.94"
"informatica_acessorios","3.94"
"moveis_decoracao","3.91"
"cama_mesa_banho","3.90"
"moveis_sala","3.90"
NULL,"3.84"
"construcao_ferramentas_seguranca","3.84"
"casa_conforto","3.84"
"audio","3.83"
"fashion_roupa_feminina","3.78"
"moveis_colchao_e_estofado","3.78"
"artigos_de_festas","3.77"
"telefonia_fixa","3.68"
"fashion_roupa_masculina","3.64"
"casa_conforto_2","3.63"
"moveis_escritorio","3.49"
"pc_gamer","3.33"
"portateis_cozinha_e_preparadores_de_alimentos","3.27"
"fraldas_higiene","3.26"
"seguros_e_servicos","2.50"
