"product_category_name","total_revenue"
"agro_industria_e_comercio","9710.48"
"agro_industria_e_comercio","8609.73"
"agro_industria_e_comercio","7355.34"
"alimentos","5092.34"
"alimentos","4883.44"
"alimentos","4027.24"
"alimentos_bebidas","2859.77"
"alimentos_bebidas","1605.26"
"alimentos_bebidas","1400.43"
"artes","12852.22"
"artes","6726.66"
"artes","560.36"
"artes_e_artesanato","721.82"
"artes_e_artesanato","314.32"
"artes_e_artesanato","306.72"
"artigos_de_festas","824.07"
"artigos_de_festas","602.58"
"artigos_de_festas","420.99"
"artigos_de_natal","2379.21"
"artigos_de_natal","1379.12"
"artigos_de_natal","805.55"
"audio","13525.39"
"audio","10231.39"
"audio","9776.03"
"automotivo","22367.88"
"automotivo","22228.51"
"automotivo","14747.13"
"bebes","40311.95"
"bebes","11484.57"
"bebes","9912.40"
"bebidas","5896.57"
"bebidas","3611.44"
"bebidas","1475.39"
"beleza_saude","67606.10"
"beleza_saude","59093.99"
"beleza_saude","26659.74"
"brinquedos","12787.22"
"brinquedos","9368.14"
"brinquedos","6919.07"
"cama_mesa_banho","51071.60"
"cama_mesa_banho","33316.76"
"cama_mesa_banho","12160.45"
"casa_conforto","17106.69"
"casa_conforto","2441.46"
"casa_conforto","1916.18"
"casa_conforto_2","687.51"
"casa_conforto_2","237.68"
"casa_conforto_2","129.35"
"casa_construcao","6334.07"
"casa_construcao","3925.56"
"casa_construcao","3483.30"
"cds_dvds_musicais","954.99"
"cine_foto","1170.39"
"cine_foto","922.69"
"cine_foto","773.77"
"climatizacao","3993.09"
"climatizacao","2526.58"
"climatizacao","2356.40"
"consoles_games","17502.96"
"consoles_games","9636.42"
"consoles_games","8322.03"
"construcao_ferramentas_construcao","10142.49"
"construcao_ferramentas_construcao","5760.96"
"construcao_ferramentas_construcao","4665.80"
"construcao_ferramentas_ferramentas","3005.72"
"construcao_ferramentas_ferramentas","2267.28"
"construcao_ferramentas_ferramentas","2184.83"
"construcao_ferramentas_iluminacao","16238.50"
"construcao_ferramentas_iluminacao","7133.43"
"construcao_ferramentas_iluminacao","2123.92"
"construcao_ferramentas_jardim","2516.96"
"construcao_ferramentas_jardim","2160.00"
"construcao_ferramentas_jardim","1936.93"
"construcao_ferramentas_seguranca","3155.82"
"construcao_ferramentas_seguranca","2672.82"
"construcao_ferramentas_seguranca","2133.69"
"cool_stuff","41725.81"
"cool_stuff","20291.35"
"cool_stuff","17402.18"
"dvds_blu_ray","2873.81"
"dvds_blu_ray","719.65"
"dvds_blu_ray","503.56"
"eletrodomesticos","11310.98"
"eletrodomesticos","7427.88"
"eletrodomesticos","3189.79"
"eletrodomesticos_2","15138.11"
"eletrodomesticos_2","11068.04"
"eletrodomesticos_2","8363.02"
"eletronicos","8249.81"
"eletronicos","7803.02"
"eletronicos","5078.75"
"eletroportateis","13146.53"
"eletroportateis","7961.41"
"eletroportateis","7355.83"
"esporte_lazer","10263.75"
"esporte_lazer","10052.68"
"esporte_lazer","9595.77"
"fashion_bolsas_e_acessorios","8618.47"
"fashion_bolsas_e_acessorios","3287.98"
"fashion_bolsas_e_acessorios","3014.56"
"fashion_calcados","1850.61"
"fashion_calcados","1686.33"
